iter	RMSE
0	17160.27049
1	13673.93196
2	12362.44302
3	11797.18554
4	11326.53392
5	10723.9111
6	10426.01334
7	10208.40236
8	9996.3891
9	9826.7547
10	9630.20114
11	9502.584125
12	9275.12022
13	9122.871351
14	8844.760375
15	8656.276288
16	8553.651624
17	8439.374507
18	8324.2715
19	8198.945921
20	8119.103989
21	8065.648873
22	7989.780565
23	7908.250339
24	7846.092144
25	7762.542861
26	7710.747185
27	7648.243982
28	7605.331075
29	7577.081923
30	7346.268452
31	7302.033197
32	7208.825707
33	7171.140555
34	7118.34183
35	7089.990338
36	7055.13273
37	7024.424607
38	6956.68378
39	6866.203526
40	6813.378073
41	6771.185206
42	6750.224844
43	6722.714018
44	6687.689045
45	6661.477817
46	6640.241762
47	6617.435265
48	6599.796248
49	6573.035764
50	6478.563438
51	6402.817032
52	6365.141012
53	6336.232842
54	6307.198701
55	6295.785312
56	6279.549411
57	6263.482585
58	6239.824443
59	6201.222982
60	6192.969789
61	6166.771363
62	6119.528818
63	6106.299665
64	6083.719165
65	6038.96036
66	6014.36282
67	5994.969032
68	5986.563583
69	5969.106092
70	5946.696376
71	5921.586769
72	5912.052444
73	5901.760781
74	5886.558012
75	5874.02751
76	5847.299745
77	5839.999248
78	5826.399617
79	5809.816142
80	5787.708685
81	5782.029198
82	5776.090484
83	5754.328453
84	5745.366088
85	5712.093881
86	5703.46141
87	5676.917229
88	5658.364852
89	5649.727265
90	5635.406358
91	5598.967324
92	5586.687617
93	5567.500727
94	5557.703543
95	5549.373152
96	5537.166011
97	5527.224757
98	5511.172959
99	5494.144596
100	5479.040728
101	5472.47332
102	5464.333871
103	5456.543514
104	5440.644889
105	5425.825049
106	5413.852952
107	5405.013403
108	5392.449261
109	5382.016038
110	5361.700396
111	5355.96912
112	5348.453953
113	5341.732481
114	5331.199005
115	5323.278614
116	5315.369646
117	5299.86981
118	5295.394792
119	5269.503588
120	5255.232394
121	5233.677878
122	5227.814846
123	5208.465629
124	5204.703335
125	5185.095168
126	5173.964996
127	5158.888572
128	5145.001198
129	5140.79771
130	5133.552849
131	5127.439736
132	5121.562156
133	5105.292872
134	5098.91998
135	5086.992279
136	5070.185357
137	5063.169444
138	5049.059065
139	5044.286675
140	5038.201468
141	5026.771617
142	5014.590933
143	5001.525374
144	4992.973186
145	4988.407389
146	4979.501393
147	4966.572054
148	4957.35494
149	4951.72303
150	4944.762814
151	4938.283913
152	4933.418442
153	4929.381528
154	4917.449782
155	4908.451655
156	4907.104769
157	4897.112542
158	4894.471916
159	4889.189751
160	4883.770799
161	4877.650909
162	4869.016785
163	4865.458484
164	4861.689697
165	4831.377399
166	4825.354312
167	4820.255601
168	4808.337344
169	4797.896187
170	4790.23232
171	4785.933097
172	4778.339011
173	4769.851492
174	4763.441926
175	4758.451454
176	4749.57356
177	4722.039483
178	4714.547223
179	4708.323508
180	4696.184154
181	4690.930419
182	4688.440027
183	4678.727658
184	4664.89051
185	4658.016976
186	4647.633951
187	4644.240205
188	4640.269634
189	4632.09983
190	4627.224727
191	4621.906322
192	4615.769043
193	4609.132197
194	4605.880787
195	4602.278124
196	4596.464061
197	4591.52535
198	4581.636852
199	4577.905353
200	4572.344066
201	4566.401502
202	4547.37373
203	4543.55947
204	4530.810913
205	4524.568359
206	4520.184154
207	4513.726516
208	4509.390376
209	4507.061666
210	4498.500265
211	4487.539172
212	4481.277148
213	4477.851541
214	4471.983415
215	4467.786021
216	4458.763951
217	4454.993652
218	4449.755144
219	4443.064802
220	4438.321276
221	4436.693266
222	4429.996181
223	4426.05483
224	4423.769588
225	4419.757932
226	4410.622617
227	4408.197027
228	4403.764508
229	4399.443007
230	4395.337767
231	4390.51889
232	4383.805183
233	4380.532465
234	4377.16722
235	4372.757024
236	4363.604918
237	4354.627545
238	4350.562734
239	4347.185839
240	4338.220529
241	4335.028544
242	4327.249227
243	4323.304588
244	4320.679616
245	4317.698615
246	4313.510836
247	4309.121942
248	4303.766173
249	4296.939139
250	4294.116203
251	4290.140082
252	4288.157101
253	4285.447459
254	4271.007406
255	4267.924359
256	4264.672226
257	4259.567801
258	4251.67028
259	4248.614756
260	4242.388296
261	4236.83834
262	4234.501288
263	4232.255384
264	4223.383017
265	4207.536941
266	4204.594426
267	4195.083577
268	4191.958889
269	4186.784817
270	4178.235959
271	4176.40857
272	4173.004087
273	4171.652424
274	4166.218741
275	4164.46543
276	4161.008796
277	4157.306594
278	4151.25803
279	4149.444876
280	4140.327976
281	4136.827789
282	4135.357031
283	4132.178433
284	4131.071024
285	4124.166292
286	4120.662635
287	4105.602432
288	4101.904382
289	4096.385711
290	4092.887329
291	4087.155824
292	4083.161395
293	4075.329604
294	4038.377767
295	4034.806515
296	4031.469552
297	4027.79044
298	4025.089949
299	4021.698128
300	4019.565306
301	4017.242597
302	3995.858823
303	3993.708124
304	3982.203469
305	3979.506152
306	3977.642448
307	3975.761608
308	3972.556982
309	3968.038348
310	3964.2622
311	3957.50401
312	3953.945153
313	3951.775933
314	3948.549888
315	3946.640923
316	3943.392771
317	3937.409555
318	3934.654777
319	3932.72371
320	3928.774866
321	3925.571678
322	3922.216269
323	3915.631487
324	3912.53765
325	3910.720292
326	3906.364772
327	3901.467458
328	3898.498471
329	3896.136113
330	3893.97045
331	3891.449554
332	3888.227821
333	3882.759868
334	3881.772655
335	3870.829603
336	3864.065098
337	3862.199533
338	3859.420453
339	3857.828734
340	3855.185119
341	3852.160316
342	3843.967069
343	3842.623341
344	3839.515529
345	3836.909438
346	3832.089842
347	3829.112934
348	3826.749576
349	3823.359705
350	3821.042193
351	3818.819281
352	3816.518571
353	3812.638801
354	3809.40601
355	3806.674092
356	3803.547475
357	3801.028798
358	3796.189357
359	3794.809878
360	3790.338371
361	3784.743497
362	3780.300495
363	3777.912366
364	3774.552377
365	3772.443871
366	3769.874641
367	3767.487105
368	3765.528527
369	3764.678766
370	3763.493917
371	3761.204131
372	3759.203839
373	3757.179343
374	3748.300421
375	3742.843903
376	3741.981147
377	3740.40964
378	3738.616481
379	3737.437257
380	3735.99687
381	3734.772186
382	3732.7777
383	3730.16927
384	3728.84931
385	3726.715182
386	3721.355443
387	3715.579466
388	3708.855832
389	3705.709111
390	3703.668621
391	3698.776484
392	3696.576166
393	3694.342673
394	3692.663442
395	3691.093097
396	3686.884986
397	3683.488757
398	3681.277528
399	3680.424905
