iter	Passed	Remaining
0	21	8402
1	41	8253
2	63	8432
3	85	8507
4	112	8863
5	131	8643
6	151	8517
7	171	8426
8	192	8356
9	214	8347
10	231	8204
11	252	8150
12	270	8046
13	290	8006
14	312	8019
15	333	8008
16	354	7997
17	374	7943
18	393	7893
19	416	7906
20	437	7889
21	456	7837
22	475	7795
23	495	7768
24	517	7764
25	536	7713
26	554	7661
27	573	7619
28	591	7561
29	608	7504
30	628	7475
31	646	7430
32	666	7407
33	684	7367
34	703	7335
35	722	7301
36	740	7269
37	761	7253
38	782	7240
39	801	7211
40	820	7186
41	839	7152
42	856	7109
43	876	7093
44	896	7074
45	913	7029
46	930	6990
47	948	6957
48	968	6935
49	988	6918
50	1008	6900
51	1027	6877
52	1046	6852
53	1065	6829
54	1087	6819
55	1106	6796
56	1125	6775
57	1146	6761
58	1165	6736
59	1185	6718
60	1205	6700
61	1223	6672
62	1242	6644
63	1260	6619
64	1280	6600
65	1298	6573
66	1316	6544
67	1334	6516
68	1353	6490
69	1372	6469
70	1392	6450
71	1411	6430
72	1428	6400
73	1447	6376
74	1467	6361
75	1489	6351
76	1509	6332
77	1531	6321
78	1550	6300
79	1571	6285
80	1592	6271
81	1619	6280
82	1641	6268
83	1659	6244
84	1681	6232
85	1702	6214
86	1721	6192
87	1742	6179
88	1762	6159
89	1782	6141
90	1801	6116
91	1822	6103
92	1842	6081
93	1860	6056
94	1877	6026
95	1894	5998
96	1912	5974
97	1930	5947
98	1948	5923
99	1965	5897
100	1982	5868
101	2001	5847
102	2022	5832
103	2045	5822
104	2064	5800
105	2081	5773
106	2102	5756
107	2123	5742
108	2144	5724
109	2164	5707
110	2187	5694
111	2207	5676
112	2229	5663
113	2252	5651
114	2270	5627
115	2290	5607
116	2309	5586
117	2330	5570
118	2352	5553
119	2373	5537
120	2395	5522
121	2419	5513
122	2439	5493
123	2461	5479
124	2480	5456
125	2500	5438
126	2522	5423
127	2545	5408
128	2568	5395
129	2591	5381
130	2613	5366
131	2634	5349
132	2655	5331
133	2676	5313
134	2697	5295
135	2719	5279
136	2741	5262
137	2760	5240
138	2779	5219
139	2798	5197
140	2818	5177
141	2837	5155
142	2855	5132
143	2875	5111
144	2897	5096
145	2918	5076
146	2938	5056
147	2959	5038
148	2980	5021
149	3003	5006
150	3025	4988
151	3044	4967
152	3064	4946
153	3083	4925
154	3104	4906
155	3123	4885
156	3137	4855
157	3158	4837
158	3176	4814
159	3194	4792
160	3213	4770
161	3231	4747
162	3249	4724
163	3268	4703
164	3286	4680
165	3305	4660
166	3323	4637
167	3342	4615
168	3362	4595
169	3382	4576
170	3401	4555
171	3420	4534
172	3439	4513
173	3459	4492
174	3479	4473
175	3498	4452
176	3519	4433
177	3539	4413
178	3558	4393
179	3575	4370
180	3592	4347
181	3618	4334
182	3649	4327
183	3672	4310
184	3691	4289
185	3709	4267
186	3731	4250
187	3749	4228
188	3770	4209
189	3789	4188
190	3810	4169
191	3832	4151
192	3851	4131
193	3873	4113
194	3892	4092
195	3914	4073
196	3936	4056
197	3957	4037
198	3978	4018
199	3997	3997
200	4021	3981
201	4042	3962
202	4060	3940
203	4079	3919
204	4097	3897
205	4116	3876
206	4135	3856
207	4154	3835
208	4174	3815
209	4211	3809
210	4232	3791
211	4251	3770
212	4270	3749
213	4288	3727
214	4308	3707
215	4328	3687
216	4349	3668
217	4370	3649
218	4391	3629
219	4411	3609
220	4429	3587
221	4447	3566
222	4467	3545
223	4488	3526
224	4507	3505
225	4526	3485
226	4545	3464
227	4566	3444
228	4585	3424
229	4606	3404
230	4625	3384
231	4646	3364
232	4666	3344
233	4687	3325
234	4709	3306
235	4728	3285
236	4745	3264
237	4763	3242
238	4781	3221
239	4801	3201
240	4819	3179
241	4838	3159
242	4858	3138
243	4877	3118
244	4896	3097
245	4916	3077
246	4935	3057
247	4956	3037
248	4976	3017
249	4996	2998
250	5019	2979
251	5041	2960
252	5060	2940
253	5080	2920
254	5100	2900
255	5121	2880
256	5140	2860
257	5161	2840
258	5181	2820
259	5198	2799
260	5220	2780
261	5241	2760
262	5260	2740
263	5279	2719
264	5298	2699
265	5321	2680
266	5341	2660
267	5364	2642
268	5384	2622
269	5405	2602
270	5427	2583
271	5450	2565
272	5471	2545
273	5491	2525
274	5512	2505
275	5532	2485
276	5552	2465
277	5570	2444
278	5593	2425
279	5612	2405
280	5633	2385
281	5654	2365
282	5674	2346
283	5692	2325
284	5710	2304
285	5730	2284
286	5751	2264
287	5770	2244
288	5789	2223
289	5807	2202
290	5825	2182
291	5843	2161
292	5861	2140
293	5881	2120
294	5898	2099
295	5917	2079
296	5934	2058
297	5951	2036
298	5969	2016
299	5988	1996
300	6007	1975
301	6026	1955
302	6045	1935
303	6067	1915
304	6087	1896
305	6106	1875
306	6123	1854
307	6142	1834
308	6165	1815
309	6188	1796
310	6208	1776
311	6234	1758
312	6256	1738
313	6275	1718
314	6296	1699
315	6320	1680
316	6339	1659
317	6359	1639
318	6380	1620
319	6401	1600
320	6419	1579
321	6439	1559
322	6458	1539
323	6479	1519
324	6498	1499
325	6518	1479
326	6537	1459
327	6554	1438
328	6574	1418
329	6590	1398
330	6611	1378
331	6630	1358
332	6647	1337
333	6665	1317
334	6679	1296
335	6697	1275
336	6717	1255
337	6733	1235
338	6750	1214
339	6769	1194
340	6787	1174
341	6804	1154
342	6822	1133
343	6839	1113
344	6856	1093
345	6873	1072
346	6887	1052
347	6903	1031
348	6921	1011
349	6938	991
350	6955	970
351	6973	950
352	6990	930
353	7008	910
354	7028	890
355	7045	870
356	7064	850
357	7082	830
358	7099	810
359	7118	790
360	7138	771
361	7155	751
362	7172	731
363	7188	710
364	7205	690
365	7219	670
366	7237	650
367	7254	630
368	7270	610
369	7290	591
370	7309	571
371	7326	551
372	7345	531
373	7363	511
374	7380	492
375	7403	472
376	7423	452
377	7442	433
378	7459	413
379	7479	393
380	7496	373
381	7513	354
382	7530	334
383	7547	314
384	7565	294
385	7589	275
386	7610	255
387	7629	235
388	7648	216
389	7668	196
390	7689	177
